Age,Income,Experience,Score,Purchase
56,109614,16,15,0
46,108116,33,47,0
32,76235,16,93,1
60,34855,3,25,0
25,56169,12,6,0
38,66404,3,11,0
56,39569,6,17,0
36,145074,8,15,0
40,149006,22,16,0
28,74437,32,56,1
28,68506,32,66,1
41,45738,19,36,0
53,26772,3,83,0
57,110410,0,38,0
41,39731,33,85,0
20,30131,26,75,0
39,86324,20,3,0
19,74097,23,98,1
41,101720,14,18,0
61,116433,34,79,1
47,22889,24,89,0
55,29569,8,54,0
19,107193,16,79,1
38,95677,20,94,1
50,105192,12,17,0
29,143757,2,82,1
39,107154,3,95,1
61,97470,3,82,1
42,128073,27,99,1
44,108822,6,13,0
59,146019,25,63,1
45,27612,10,14,0
33,71644,23,59,1
32,52069,9,36,0
64,101741,36,18,0
61,47331,12,5,0
20,75897,38,14,0
54,33934,18,25,0
24,30095,18,44,0
38,111494,11,39,0
26,122544,21,12,0
56,38706,36,61,0
35,63516,29,62,1
21,123602,11,53,1
42,117008,28,53,1
31,54629,20,28,0
26,66910,10,35,0
43,108540,36,65,1
19,144746,17,3,0
37,40431,26,43,0
45,76733,36,50,0
64,60088,11,71,1
24,64135,22,9,0
61,135786,33,36,0
25,58015,37,23,0
64,120038,22,88,1
52,51385,24,74,0
31,90199,3,50,0
34,58677,29,55,0
53,138104,29,12,0
57,32818,12,83,0
21,108222,13,32,0
19,83001,7,24,0
23,43977,23,86,0
59,69832,17,67,1
21,60931,34,27,0
46,103990,24,61,1
35,98894,16,19,0
43,92204,31,73,1
61,65784,23,51,1
51,126305,6,64,1
27,29921,12,77,0
53,54959,26,2,0
31,52328,4,36,0
48,28859,35,93,0
32,144492,25,11,0
25,109506,30,98,1
31,94408,9,68,1
40,143852,25,68,1
57,104766,21,64,1
38,46708,11,1,0
33,38847,31,89,0
62,75989,26,26,0
35,112641,32,11,0
64,145383,19,87,1
41,24922,38,2,0
43,89928,39,83,1
42,72335,12,93,1
62,146913,13,40,0
58,33541,39,4,0
46,39551,21,80,0
32,39381,17,37,0
62,133319,28,61,1
18,75673,15,91,1
42,121531,34,5,0
24,42948,33,15,0
26,112264,2,87,1
41,79072,3,67,1
18,87560,4,82,1
61,102249,9,26,0
25,22486,28,6,0
41,86691,31,44,0
28,30082,30,58,0
34,122781,1,81,1
25,104105,11,46,0
52,27086,26,42,0
52,147818,4,48,0
50,87853,36,27,0
22,121925,26,20,0
59,90027,22,70,1
56,35916,32,35,0
58,35248,3,76,0
45,88047,20,48,0
24,44226,23,67,0
26,45025,30,68,0
25,127850,23,52,1
29,68380,9,68,1
51,27848,1,4,0
50,34274,30,39,0
40,140092,24,21,0
41,74545,3,66,1
54,149043,10,16,0
52,116494,16,7,0
61,135981,1,83,1
57,55233,5,97,0
39,36304,8,9,0
44,133973,4,17,0
52,31294,19,91,0
18,46425,28,97,0
52,88711,20,12,0
54,126153,8,57,1
64,130777,27,45,0
31,113311,7,11,0
